crate,variant,unsafe_instructions,unsafe_load,unsafe_load_pct,unsafe_store,unsafe_store_pct,unsafe_ptr_arith,unsafe_ptr_arith_pct,unsafe_cast,unsafe_cast_pct,unsafe_call,unsafe_call_pct,unsafe_others,unsafe_others_pct
simdutf8,with_native,140558799,17410922,12.3869,38146308,27.1390,1680879,1.1959,175817,0.1251,37719541,26.8354,45425332,32.3177
siphasher,with_native,611228,273594,44.7614,284638,46.5682,4339,0.7099,86,0.0141,11600,1.8978,36971,6.0486
slotmap,with_native,162765596,22802392,14.0093,43731062,26.8675,9803385,6.0230,1328240,0.8160,33090973,20.3304,52009544,31.9536
smallvec,with_native,94414,12534,13.2756,22444,23.7719,8458,8.9584,1564,1.6565,18146,19.2196,31268,33.1180
tokio,with_native,5901440873,663471173,11.2425,1687810092,28.6000,522103572,8.8471,31055640,0.5262,775934359,13.1482,2221066037,37.6360
triomphe,with_native,98013,11337,11.5668,27723,28.2850,7527,7.6796,501,0.5112,18494,18.8689,32431,33.0885
unicode-normalization,with_native,695054016,83734385,12.0472,203960507,29.3446,51663603,7.4330,6785917,0.9763,94834041,13.6441,254075563,36.5548
utf8parse,with_native,1115679324,135079430,12.1074,337445347,30.2457,106572782,9.5523,7601307,0.6813,138750928,12.4365,390229530,34.9769
uuid,with_native,199136393,14940810,7.5028,76330045,38.3305,10034803,5.0392,965504,0.4848,13157963,6.6075,83707268,42.0351
value-bag,with_native,43457,5025,11.5632,11595,26.6815,4081,9.3909,221,0.5085,6493,14.9412,16042,36.9147
winnow,with_native,91315671,3220458,3.5267,3121414,3.4183,12812084,14.0305,881898,0.9658,5018498,5.4958,66261319,72.5629
zopfli,with_native,36721694542,4609923520,12.5537,11756980091,32.0164,3202225882,8.7203,248572843,0.6769,6340990797,17.2677,10563001409,28.7650
