crate,variant,unsafe_instructions,unsafe_load,unsafe_load_pct,unsafe_store,unsafe_store_pct,unsafe_ptr_arith,unsafe_ptr_arith_pct,unsafe_cast,unsafe_cast_pct,unsafe_call,unsafe_call_pct,unsafe_others,unsafe_others_pct
rand,without_native,1151162,128128,11.1303,324266,28.1686,82595,7.1749,68,0.0059,159769,13.8789,456336,39.6413
rayon-core,without_native,1864404331,155164198,8.3225,446780226,23.9637,233895722,12.5453,17512890,0.9393,249469204,13.3806,761582048,40.8485
rgb,without_native,6758,448,6.6292,1945,28.7807,457,6.7624,4,0.0592,921,13.6283,2983,44.1403
ring,without_native,134454179,11673750,8.6823,15741,0.0117,1389,0.0010,0,0.0000,70177641,52.1945,52585658,39.1105
rmp,without_native,7276181,786608,10.8107,2359792,32.4317,393376,5.4064,16,0.0002,1966784,27.0304,1769605,24.3205
ron,without_native,235019,21875,9.3078,61872,26.3264,20964,8.9201,578,0.2459,38202,16.2549,91528,38.9449
rust-openssl,without_native,193327962,15092875,7.8069,52332662,27.0694,20075159,10.3840,2009756,1.0396,41214440,21.3184,62603070,32.3818
rustc-demangle,without_native,16976789,1835376,10.8111,5505840,32.4316,917792,5.4062,16,0.0001,4588800,27.0298,4128965,24.3212
scroll,without_native,2162,0,0.0000,543,25.1156,86,3.9778,0,0.0000,610,28.2146,923,42.6920
semver,without_native,511512,64560,12.6214,130887,25.5883,26751,5.2298,572,0.1118,87211,17.0496,201531,39.3991
serde_with,without_native,766113,98960,12.9172,187548,24.4805,134410,17.5444,380,0.0496,148017,19.3205,196798,25.6879
serde_yaml,without_native,6723375,701606,10.4353,1363950,20.2867,663772,9.8726,81938,1.2187,1335397,19.8620,2576712,38.3247
sharded-slab,without_native,233798665,35090650,15.0089,89432529,38.2519,18476782,7.9029,121041,0.0518,5238186,2.2405,85439477,36.5440
signal-hook,without_native,159536,11401,7.1463,50912,31.9125,20285,12.7150,394,0.2470,26108,16.3650,50436,31.6142
simdutf8,without_native,153597853,17611893,11.4662,39495631,25.7137,1021412,0.6650,118172,0.0769,43597040,28.3839,51753705,33.6943
siphasher,without_native,1158485,540572,46.6620,549810,47.4594,3200,0.2762,0,0.0000,13409,1.1575,51494,4.4449
slotmap,without_native,59248328,6075796,10.2548,16596858,28.0124,4584093,7.7371,120371,0.2032,8537433,14.4096,23333777,39.3830
smallvec,without_native,129118,17412,13.4853,28524,22.0914,11991,9.2869,2515,1.9478,24121,18.6814,44555,34.5072
tokio,without_native,2584681404,199353923,7.7129,771192611,29.8370,255678339,9.8921,22054467,0.8533,319043349,12.3436,1017358715,39.3611
triomphe,without_native,69106,5407,7.8242,19253,27.8601,5214,7.5449,525,0.7597,14089,20.3875,24618,35.6235
unicode-normalization,without_native,13295147,293424,2.2070,3158062,23.7535,0,0.0000,0,0.0000,2095484,15.7613,7748177,58.2782
utf8parse,without_native,17848193,4222784,23.6594,4222784,23.6594,4222784,23.6594,0,0.0000,2403457,13.4661,2776384,15.5555
uuid,without_native,7278947,786840,10.8098,2360440,32.4283,393589,5.4072,20,0.0003,1967525,27.0304,1770533,24.3240
value-bag,without_native,2268,24,1.0582,24,1.0582,6,0.2646,0,0.0000,0,0.0000,2214,97.6190
winnow,without_native,34905,2882,8.2567,1748,5.0079,4854,13.9063,1142,3.2717,3307,9.4743,20972,60.0831
zopfli,without_native,28829414630,2775431609,9.6271,9798365474,33.9874,3322665455,11.5253,334283282,1.1595,2639670148,9.1562,9958998662,34.5446
aho-corasick,with_native,35907871642,5013488931,13.9621,10443891491,29.0852,2967973287,8.2655,119361698,0.3324,6579410285,18.3230,10783745950,30.0317
arbitrary,with_native,4749086969,615039043,12.9507,1382970146,29.1208,347945798,7.3266,5777795,0.1217,659806646,13.8933,1737547541,36.5870
arc-swap,with_native,50438705476,6247721601,12.3868,15513216958,30.7566,3160232691,6.2655,39874068,0.0791,4481492751,8.8850,20996167407,41.6271
