crate,variant,total_instructions,unsafe_instructions,unsafe_instruction_pct
msgpack-rust,with_native,534287453,90751288,16.9855
native-tls,with_native,302369663,88679251,29.3281
ndarray,with_native,162860303306,18637994483,11.4442
nom,with_native,45155865,7766013,17.1982
nu-ansi-term,with_native,534291090,90776208,16.9900
num-bigint,with_native,43934935682,9045848731,20.5892
ordered-float,with_native,211680638,43042059,20.3335
ordered-multimap,with_native,5404072,1256249,23.2463
os_info,with_native,534291113,90928103,17.0185
ouroboros,with_native,534291099,90544094,16.9466
parity-scale-codec,with_native,102054550296,26145362783,25.6190
parking_lot,with_native,59156316468,19952087135,33.7277
petgraph,with_native,10841911498,1007779660,9.2952
pin-project-lite,with_native,613080643,103013893,16.8027
polling,with_native,23794210,2335959,9.8173
portable-atomic,with_native,205336827689,75333756477,36.6879
postcard,with_native,5547008,998914,18.0082
pulldown-cmark,with_native,256780232,27550005,10.7290
rand,with_native,783184171,76944385,9.8246
rayon-core,with_native,17420257768,3852679284,22.1161
rgb,with_native,494479,74908,15.1489
ring,with_native,312329149935,65935483070,21.1109
rmp,with_native,534283832,90741882,16.9838
ron,with_native,206088545,39145684,18.9946
rust-openssl,with_native,1237369461,606143545,48.9865
rustc-demangle,with_native,1174006349,224468473,19.1199
scroll,with_native,200259,31188,15.5738
semver,with_native,639177203,12749356,1.9947
serde_with,with_native,125700609,18632147,14.8226
serde_yaml,with_native,128529946,26494472,20.6135
sharded-slab,with_native,10750564081,1050913898,9.7754
signal-hook,with_native,935397902,68520792,7.3253
simdutf8,with_native,557085548,273135099,49.0293
siphasher,with_native,175971091,1208043,0.6865
slotmap,with_native,486184567,115612063,23.7795
smallvec,with_native,484249,184318,38.0626
tokio,with_native,40960360933,9135117610,22.3023
triomphe,with_native,1126213,189736,16.8473
unicode-normalization,with_native,8239422975,1388761013,16.8551
utf8parse,with_native,9097234041,2228955191,24.5015
uuid,with_native,534475517,90707087,16.9712
value-bag,with_native,143361,13401,9.3477
winnow,with_native,4659870,750313,16.1016
zopfli,with_native,335467766421,53151761249,15.8441
