crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
bimap,with_native,261840,2277,190,2274,40544,549,6127,2658,15.4843,22.4742,9.5238,0.0000,22.2537,22.4742,5.7971,0.0000,20.0423,3.3079
borsh-rs,with_native,16572190,196485,5283,196314,5529111,66955,469635,267583,33.3638,33.2650,14.0230,64.2857,33.1842,33.2650,15.3451,42.8571,32.4403,2.0690
brotli-decompressor,with_native,333413194,8114,746,8096,14791416,2059,2144,7387200,4.4364,10.2911,68.4980,0.0000,23.2393,10.2911,57.2290,0.0000,12.9478,0.3537
bstr,with_native,49304427,132783,90849,129611,42709322,97528,81679132,19960180,86.6237,43.1800,73.3063,0.0000,43.6109,43.1800,41.2001,0.0000,42.5553,9.2503
bytemuck,with_native,1374870,8088,548,8052,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
byteorder,with_native,5832290,115920,52912,115902,1096882,41813,178545,22545,18.8071,24.7803,0.0000,0.0000,24.7660,24.7803,0.0000,0.0000,24.1362,0.2857
bytes,with_native,3910491,50479,967,50425,959202,23407,60742,8210,24.5289,45.7114,0.0000,0.0000,45.4982,45.7114,0.0000,0.0000,42.1368,1.2038
cc-rs,with_native,12846299,73809,25009,73521,899131,9440,102821,51163,6.9991,9.6420,4.4977,0.0000,9.5529,9.6420,1.1421,0.0000,8.1768,1.9574
chrono,with_native,36508772,1004921,790562,1004883,13835013,583017,6926727,5894182,37.8950,32.4808,9.4595,0.0000,32.4713,32.4808,6.4605,0.0000,32.3800,2.3899
clru,with_native,475281,1512,235,1494,37142,232,43008,64449,7.8147,13.4604,8.8235,0.0000,13.2799,13.4604,3.1674,0.0000,8.9185,1.6844
colored,with_native,2122541,7196,1684,6711,191226,1039,140623,43148,9.0093,11.6379,13.5593,0.0000,11.7005,11.6379,4.5508,0.0000,8.7582,4.8071
combine,with_native,64355363,552074,134666,551476,30243161,405988,3504836,4397664,46.9940,59.9445,15.6003,0.0000,59.1182,59.9445,39.8751,0.0000,54.5467,3.8023
cpp_demangle,with_native,632285166,1630615,1212187,1630504,166708442,539196,10399374,9354122,26.3660,18.5315,24.8092,0.0000,18.9671,18.5315,30.8563,0.0000,21.4517,0.3467
cssparser,with_native,8190807,41455,2257,41455,2657756,3745,46603,2104549,32.4480,8.5787,6.3348,9.0909,8.5674,8.5787,3.0688,21.6216,11.3824,2.5723
curl,with_native,6691723,23530,2061,23425,2694416,1163,129978,289133,40.2649,4.4600,7.9630,50.0000,4.5446,4.4600,1.9069,71.4286,13.6772,1.7587
dashmap,with_native,3183967,16452,736,16060,1647400,3891,173892,36377,51.7405,22.4616,30.3109,0.0000,22.6379,22.4616,50.4178,0.0000,28.1667,5.4962
deranged,with_native,402913,7664,376,7664,61404,2492,9861,93,15.2400,31.1890,0.0000,0.0000,30.9950,31.1890,0.0000,0.0000,29.3073,1.7025
dlv-list,with_native,510382,1725,394,1707,2360,42,49,96,0.4624,2.0378,0.0000,0.0000,1.9821,2.0378,0.0000,0.0000,1.2153,0.5512
ego-tree,with_native,1450309,6479,742,6425,18776,123,100,414,1.2946,1.7564,0.0000,0.0000,1.7034,1.7564,0.0000,0.0000,1.1477,1.0706
encoding_rs,with_native,32266991,173477,67081,173477,30678030,158256,6791517,6750704,95.0756,65.8094,26.8116,66.6667,65.7870,65.8094,36.8247,66.6667,65.4906,0.2313
filetime,with_native,163351,1386,129,1386,826,27,0,27,0.5057,1.8182,0.0000,0.0000,1.7822,1.8182,0.0000,0.0000,1.5625,0.3887
fixedbitset,with_native,1343189,5479,2508,5461,929584,5329,479242,57751,69.2072,67.2392,7.2464,0.0000,66.7209,67.2392,13.5458,0.0000,58.6587,7.3281
flate2,with_native,311276091,10327,3616,10307,231398850,3239,26961658,106327558,74.3388,14.6835,51.5469,83.2073,23.2303,14.6835,62.2141,74.6603,71.5164,4.4036
fragile,with_native,1022260,6847,520,6828,11139,168,633,272,1.0896,2.3337,0.0000,0.0000,2.2804,2.3337,0.0000,0.0000,1.8178,1.0582
fs4,with_native,2124932,4480,855,3727,1031752,1413,28274,3857,48.5546,25.8949,42.0513,0.0000,26.4855,25.8949,36.6893,0.0000,29.9551,2.1634
getrandom,with_native,1956566,18992,737,18992,280590,2601,710,261704,14.3409,13.3807,0.3356,0.0000,13.1836,13.3807,7.6831,0.0000,12.7314,5.9680
gimli,with_native,86805144,356671,78507,356653,48249958,192137,1776151,1636259,55.5842,44.1235,46.4863,39.3939,44.1514,44.1235,40.4651,58.6735,45.5423,1.1189
git2,with_native,1982027,23250,2230,23220,40976,2579,794,2880,2.0674,10.1954,0.5208,0.0000,10.1217,10.1954,0.2125,0.0000,8.8309,0.6983
h2,with_native,3379233726,7134794,278799,7134791,435478667,1481579,15962393,9276958,12.8869,19.9434,23.4098,45.0450,19.9846,19.9434,2.0179,25.5754,13.6396,0.2890
hashbrown,with_native,102987842,144573,865,144555,1459946,5561,473190,928208,1.4176,3.7907,22.2656,8.3333,3.8236,3.7907,34.5329,0.4464,3.1352,0.0309
hashlink,with_native,462707,4440,277,4440,32448,784,25057,28411,7.0126,16.8865,3.2609,0.0000,16.6207,16.8865,1.2821,0.0000,14.8301,4.0815
headers,with_native,747494,5514,659,5514,92592,413,1180,1904,12.3870,6.8152,0.0000,0.0000,6.6904,6.8152,0.0000,0.0000,5.7698,0.9835
http,with_native,335317251,1737283,26104,1737242,208225812,1701062,17449663,1002407,62.0982,96.5250,93.2429,0.0000,96.4656,96.5250,73.6311,0.0000,80.9560,0.8920
http-body,with_native,1582181,4599,312,4599,8592,33,197,208,0.5430,0.6660,0.9524,0.0000,0.6720,0.6660,0.3788,0.0000,0.4907,1.0963
